Sample Name,Peak Number,RT,Area,Height,% Area,Total Area,Int Type
DPS21003-1,1,3.405,768,114,0.0073,10473763,BB
DPS21003-1,21,35.281,582,52,0.0056,10473763,BB
DPS21003-1,2,5.197,320,33,0.0031,10473763,BV
DPS21003-1,22,36.426,1537,73,0.0147,10473763,BB
DPS21003-1,3,5.340,165,19,0.0016,10473763,VV
DPS21003-1,23,37.363,2755,297,0.0263,10473763,BB
DPS21003-1,4,5.756,138,10,0.0013,10473763,VB
DPS21003-1,24,37.839,2263,279,0.0216,10473763,BB
DPS21003-1,5,7.382,3083,188,0.0294,10473763,BV
DPS21003-1,6,7.740,1409,121,0.0135,10473763,VV
DPS21003-1,7,9.840,1091,64,0.0104,10473763,BB
DPS21003-1,8,10.642,480,17,0.0046,10473763,BB
DPS21003-1,9,11.821,313,20,0.0030,10473763,BV
DPS21003-1,3,12.533,1229,53,0.0117,10473763,VV
DPS21003-1,11,13.027,1114,51,0.0106,10473763,VV
DPS21003-1,2,14.021,226,11,0.0022,10473763,VB
DPS21003-1,72,15.209,10402414,245739,99.3188,10473763,BV
DPS21003-1,14,18.152,4693,106,0.0448,10473763,VV
DPS21003-1,15,19.378,1017,38,0.0097,10473763,VV
DPS21003-1,1,20.209,44337,1749,0.4233,10473763,VV
DPS21003-1,17,26.006,404,13,0.0039,10473763,BV
DPS21003-1,18,28.139,834,18,0.0080,10473763,BV
DPS21003-1,19,34.164,742,123,0.0071,10473763,VS
DPS21003-1,20,34.285,1849,216,0.0176,10473763,SV
DPS21003-2,1,3.408,1254,124,0.0120,10491469,BB
DPS21003-2,21,35.279,395,44,0.0038,10491469,BB
DPS21003-2,2,5.201,320,33,0.0030,10491469,BV
DPS21003-2,22,36.432,2529,134,0.0241,10491469,BB
DPS21003-2,3,5.361,161,20,0.0015,10491469,VV
DPS21003-2,23,37.360,2166,269,0.0206,10491469,BB
DPS21003-2,4,5.762,61,7,0.0006,10491469,VB
DPS21003-2,24,37.839,2189,278,0.0209,10491469,BB
DPS21003-2,5,7.384,3079,189,0.0293,10491469,BV
DPS21003-2,6,7.743,1408,120,0.0134,10491469,VB
DPS21003-2,7,9.839,1203,65,0.0115,10491469,VV
DPS21003-2,8,10.674,518,16,0.0049,10491469,VB
DPS21003-2,9,11.823,333,20,0.0032,10491469,BV
DPS21003-2,3,12.539,1241,54,0.0118,10491469,VV
DPS21003-2,11,13.030,1148,51,0.0109,10491469,VV
DPS21003-2,2,14.034,221,11,0.0021,10491469,VB
DPS21003-2,72,15.201,10420387,250243,99.3225,10491469,BV
DPS21003-2,14,18.189,4106,108,0.0391,10491469,VV
DPS21003-2,15,19.372,971,35,0.0093,10491469,VV
DPS21003-2,1,20.212,44087,1748,0.4202,10491469,VV
DPS21003-2,17,26.049,349,11,0.0033,10491469,BB
DPS21003-2,18,28.119,806,18,0.0077,10491469,BV
DPS21003-2,19,34.164,805,119,0.0077,10491469,VS
DPS21003-2,20,34.288,1730,218,0.0165,10491469,SV
DPS21003-3,1,3.404,1301,126,0.0124,10505039,BB
DPS21003-3,21,35.277,394,44,0.0038,10505039,BB
DPS21003-3,2,5.197,319,32,0.0030,10505039,BV
DPS21003-3,22,36.428,2611,136,0.0249,10505039,BB
DPS21003-3,3,5.368,191,22,0.0018,10505039,VV
DPS21003-3,23,37.360,2179,272,0.0207,10505039,BB
DPS21003-3,4,5.762,58,7,0.0006,10505039,VB
DPS21003-3,24,37.839,2203,284,0.0210,10505039,BB
DPS21003-3,5,7.377,3078,191,0.0293,10505039,BV
DPS21003-3,6,7.739,1393,120,0.0133,10505039,VB
DPS21003-3,7,9.834,1096,63,0.0104,10505039,BB
DPS21003-3,8,10.676,451,16,0.0043,10505039,BB
DPS21003-3,9,11.820,308,20,0.0029,10505039,BV
DPS21003-3,3,12.539,1203,53,0.0114,10505039,VV
DPS21003-3,11,13.021,1117,51,0.0106,10505039,VB
DPS21003-3,2,14.051,187,10,0.0018,10505039,BB
DPS21003-3,72,15.202,10433631,248061,99.3203,10505039,BV
DPS21003-3,14,18.189,4416,107,0.0420,10505039,VV
DPS21003-3,15,19.293,1041,36,0.0099,10505039,VV
DPS21003-3,1,20.209,44293,1752,0.4216,10505039,VV
DPS21003-3,17,26.019,318,11,0.0030,10505039,BB
DPS21003-3,18,28.089,813,16,0.0077,10505039,BV
DPS21003-3,19,34.165,761,117,0.0072,10505039,VS
DPS21003-3,20,34.289,1675,217,0.0159,10505039,SV
DPS22413-2,1,5.319,337,23,0.0032,10533696,BB
DPS22413-2,21,37.365,3761,421,0.0357,10533696,BB
DPS22413-2,2,7.515,970,118,0.0092,10533696,BV
DPS22413-2,22,37.751,2509,204,0.0238,10533696,BB
DPS22413-2,3,7.692,2020,168,0.0192,10533696,VV
DPS22413-2,4,7.934,1357,125,0.0129,10533696,VB
DPS22413-2,5,10.110,614,44,0.0058,10533696,BB
DPS22413-2,6,10.984,587,22,0.0056,10533696,BB
DPS22413-2,7,12.144,746,47,0.0071,10533696,BV
DPS22413-2,3,12.933,1753,70,0.0166,10533696,VV
DPS22413-2,9,13.528,1005,46,0.0095,10533696,VV
DPS22413-2,2,14.236,603,35,0.0057,10533696,VB
DPS22413-2,72,15.703,10453904,263397,99.2425,10533696,BV
DPS22413-2,12,19.016,2060,54,0.0196,10533696,VV
DPS22413-2,13,20.191,1411,53,0.0134,10533696,VV
DPS22413-2,1,20.806,53578,2089,0.5086,10533696,VB
DPS22413-2,15,26.605,323,11,0.0031,10533696,BB
DPS22413-2,16,31.559,416,33,0.0039,10533696,BB
DPS22413-2,17,34.333,1347,115,0.0128,10533696,BB
DPS22413-2,18,35.305,719,84,0.0068,10533696,BB
DPS22413-2,19,36.052,3397,147,0.0323,10533696,BB
DPS22413-2,20,36.851,281,33,0.0027,10533696,BB
DPS22413-3,1,5.321,333,23,0.0032,10549098,BB
DPS22413-3,21,37.372,3919,435,0.0371,10549098,BB
DPS22413-3,2,7.516,1085,118,0.0103,10549098,BV
DPS22413-3,22,37.758,2583,209,0.0245,10549098,BB
DPS22413-3,3,7.692,1888,167,0.0179,10549098,VV
DPS22413-3,4,7.934,1338,123,0.0127,10549098,VB
DPS22413-3,5,10.113,642,45,0.0061,10549098,BB
DPS22413-3,6,10.821,587,22,0.0056,10549098,BB
DPS22413-3,7,12.145,704,44,0.0067,10549098,BV
DPS22413-3,3,12.932,1727,70,0.0164,10549098,VV
DPS22413-3,9,13.523,1010,44,0.0096,10549098,VV
DPS22413-3,2,14.239,574,32,0.0054,10549098,VB
DPS22413-3,72,15.703,10468808,263734,99.2389,10549098,BV
DPS22413-3,12,18.998,2164,55,0.0205,10549098,VV
DPS22413-3,13,20.171,1523,56,0.0144,10549098,VV
DPS22413-3,1,20.808,53729,2083,0.5093,10549098,VB
DPS22413-3,15,26.513,274,10,0.0026,10549098,BB
DPS22413-3,16,31.568,422,33,0.0040,10549098,BB
DPS22413-3,17,34.341,1222,108,0.0116,10549098,BB
DPS22413-3,18,35.314,762,86,0.0072,10549098,BB
DPS22413-3,19,36.062,3529,149,0.0334,10549098,BB
DPS22413-3,20,36.861,274,32,0.0026,10549098,BB
